StdOrder,RunOrder,강도,두께,방향,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Mean,StdDev,Min,Max
1,13,10,50,좌,14.075,14.075,14.075,14.075,14.075,14.075,14.075,14.075,14.075,14.075,0,0,0,0
2,11,20,50,좌,75.472,75.472,75.472,75.472,75.472,75.472,75.472,75.472,75.472,75.472,0,0,0,0
3,16,10,100,좌,27.066,27.066,27.066,27.066,27.066,27.066,27.066,27.066,27.066,27.066,0,0,0,0
4,5,20,100,좌,83.398,83.398,83.398,83.398,83.398,83.398,83.398,83.398,83.398,83.398,0,0,0,0
5,4,10,50,상,10.408,10.408,10.408,10.408,10.408,10.408,10.408,10.408,10.408,10.408,0,0,0,0
6,10,20,50,상,70.231,70.231,70.231,70.231,70.231,70.231,70.231,70.231,70.231,70.231,0,0,0,0
7,16,10,100,상,18.509,18.509,18.509,18.509,18.509,18.509,18.509,18.509,18.509,18.509,0,0,0,0
8,2,20,100,상,78.113,78.113,78.113,78.113,78.113,78.113,78.113,78.113,78.113,78.113,0,0,0,0
9,10,10,50,좌,16.865,16.865,16.865,16.865,16.865,16.865,16.865,16.865,16.865,16.865,0,0,0,0
10,16,20,50,좌,75.618,75.618,75.618,75.618,75.618,75.618,75.618,75.618,75.618,75.618,0,0,0,0
11,5,10,100,좌,28.094,28.094,28.094,28.094,28.094,28.094,28.094,28.094,28.094,28.094,0,0,0,0
12,14,20,100,좌,85.922,85.922,85.922,85.922,85.922,85.922,85.922,85.922,85.922,85.922,0,0,0,0
13,11,10,50,상,12.542,12.542,12.542,12.542,12.542,12.542,12.542,12.542,12.542,12.542,0,0,0,0
14,16,20,50,상,68.639,68.639,68.639,68.639,68.639,68.639,68.639,68.639,68.639,68.639,0,0,0,0
15,14,10,100,상,19.891,19.891,19.891,19.891,19.891,19.891,19.891,19.891,19.891,19.891,0,0,0,0
16,8,20,100,상,77.867,77.867,77.867,77.867,77.867,77.867,77.867,77.867,77.867,77.867,0,0,0,0
